iter	MAE
251	1.833158475
252	1.832792555
253	1.832724583
254	1.832233516
255	1.830876922
256	1.830644549
257	1.829285307
258	1.828778449
259	1.828617394
260	1.828334144
261	1.828265419
262	1.828111389
263	1.828002372
264	1.827556339
265	1.827249382
266	1.827171392
267	1.826203714
268	1.825338766
269	1.823735447
270	1.823658428
271	1.823570535
272	1.823121883
273	1.822877974
274	1.821893128
275	1.821631871
276	1.821133606
277	1.819634299
278	1.819610228
279	1.819557949
280	1.818089166
281	1.817959791
282	1.817856454
283	1.817506099
284	1.817079532
285	1.817017213
286	1.816709711
287	1.816342697
288	1.816255719
289	1.81544804
290	1.812405203
291	1.812326298
292	1.812208336
293	1.811868279
294	1.810664807
295	1.809942315
296	1.809830979
297	1.809750407
298	1.808378372
299	1.806520392
300	1.806455285
301	1.805447183
302	1.804778615
303	1.804382714
304	1.804277665
305	1.804161064
306	1.804027536
307	1.803883342
308	1.803760548
309	1.803691716
310	1.803591557
311	1.801667753
312	1.800198388
313	1.800119109
314	1.799851636
315	1.799779914
316	1.797957935
317	1.797325498
318	1.795899828
319	1.795079015
320	1.79473569
321	1.794252946
322	1.794186835
323	1.792267031
324	1.791673576
325	1.791377599
326	1.791361231
327	1.790554205
328	1.79045009
329	1.790320044
330	1.789712143
331	1.789159352
332	1.789037326
333	1.787632392
334	1.787578203
335	1.786761138
336	1.786341793
337	1.786152897
338	1.785647821
339	1.785364436
340	1.78527173
341	1.784376157
342	1.7840447
343	1.782602186
344	1.782508499
345	1.781749525
346	1.780898479
347	1.780088807
348	1.779872118
349	1.779779506
350	1.779682738
351	1.779506985
352	1.779327209
353	1.77925797
354	1.77775322
355	1.777533192
356	1.776844529
357	1.775404767
358	1.775061599
359	1.77344566
360	1.773306848
361	1.772976236
